"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",108,108,108,115,"1","0.00795"
"2","GO:0000070","mitotic sister chromatid segregation",25,25,25,5,"1","2.5e-10"
"3","GO:0000075","cell cycle checkpoint",23,23,23,48,"1","0.00020"
"4","GO:0000077","DNA damage checkpoint",13,13,13,149,"1","0.01918"
"5","GO:0000082","G1/S transition of mitotic cell cycle",23,23,23,129,"1","0.01184"
"6","GO:0000086","G2/M transition of mitotic cell cycle",17,17,17,88,"1","0.00287"
"7","GO:0000122","negative regulation of transcription by ...",56,56,56,861,"1","0.61464"
"8","GO:0000165","MAPK cascade",79,79,79,1529,"1","0.99679"
"9","GO:0000187","activation of MAPK activity",12,12,12,400,"1","0.20852"
"10","GO:0000209","protein polyubiquitination",12,12,12,327,"1","0.15739"
"11","GO:0000226","microtubule cytoskeleton organization",47,47,47,106,"1","0.00634"
"12","GO:0000278","mitotic cell cycle",93,93,93,9,"1","4.2e-08"
"13","GO:0000280","nuclear division",47,47,47,1,"1","1.5e-11"
"14","GO:0000281","mitotic cytokinesis",12,12,12,58,"1","0.00069"
"15","GO:0000302","response to reactive oxygen species",29,29,29,744,"1","0.52023"
"16","GO:0000819","sister chromatid segregation",26,26,26,3,"1","9.1e-11"
"17","GO:0000902","cell morphogenesis",89,89,89,665,"1","0.43684"
"18","GO:0000904","cell morphogenesis involved in different...",63,63,63,352,"1","0.17265"
"19","GO:0000910","cytokinesis",16,16,16,69,"1","0.00090"
"20","GO:0001101","response to acid chemical",17,17,17,594,"1","0.36881"
"21","GO:0001501","skeletal system development",55,55,55,121,"1","0.00844"
"22","GO:0001503","ossification",51,51,51,219,"1","0.06120"
"23","GO:0001508","action potential",10,10,10,1579,"1","0.99905"
"24","GO:0001525","angiogenesis",66,66,66,983,"1","0.70576"
"25","GO:0001558","regulation of cell growth",34,34,34,716,"1","0.49706"
"26","GO:0001568","blood vessel development",88,88,88,808,"1","0.57355"
"27","GO:0001649","osteoblast differentiation",22,22,22,233,"1","0.08035"
"28","GO:0001654","eye development",35,35,35,373,"1","0.18796"
"29","GO:0001655","urogenital system development",43,43,43,750,"1","0.52192"
"30","GO:0001656","metanephros development",14,14,14,620,"1","0.39446"
