"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",94,94,94,249,"1","0.00088"
"2","GO:0000041","transition metal ion transport",11,11,11,1135,"1","0.58560"
"3","GO:0000070","mitotic sister chromatid segregation",29,29,29,19,"1","9.2e-14"
"4","GO:0000075","cell cycle checkpoint",25,25,25,29,"1","2.7e-11"
"5","GO:0000077","DNA damage checkpoint",12,12,12,146,"1","1.9e-05"
"6","GO:0000079","regulation of cyclin-dependent protein s...",13,13,13,191,"1","9.8e-05"
"7","GO:0000082","G1/S transition of mitotic cell cycle",33,33,33,40,"1","9.2e-10"
"8","GO:0000086","G2/M transition of mitotic cell cycle",23,23,23,110,"1","4.1e-06"
"9","GO:0000122","negative regulation of transcription by ...",46,46,46,817,"1","0.27717"
"10","GO:0000165","MAPK cascade",61,61,61,408,"1","0.02115"
"11","GO:0000187","activation of MAPK activity",13,13,13,912,"1","0.36212"
"12","GO:0000226","microtubule cytoskeleton organization",41,41,41,27,"1","1.8e-11"
"13","GO:0000278","mitotic cell cycle",98,98,98,3,"1","9.4e-28"
"14","GO:0000280","nuclear division",47,47,47,7,"1","5.6e-19"
"15","GO:0000281","mitotic cytokinesis",12,12,12,153,"1","2.5e-05"
"16","GO:0000302","response to reactive oxygen species",25,25,25,667,"1","0.14365"
"17","GO:0000819","sister chromatid segregation",31,31,31,17,"1","1.1e-14"
"18","GO:0000902","cell morphogenesis",67,67,67,462,"1","0.03984"
"19","GO:0000904","cell morphogenesis involved in different...",53,53,53,474,"1","0.04438"
"20","GO:0000910","cytokinesis",17,17,17,62,"1","1.1e-07"
"21","GO:0001101","response to acid chemical",14,14,14,963,"1","0.40692"
"22","GO:0001501","skeletal system development",33,33,33,1026,"1","0.46519"
"23","GO:0001503","ossification",27,27,27,904,"1","0.35063"
"24","GO:0001523","retinoid metabolic process",17,17,17,1182,"1","0.63915"
"25","GO:0001525","angiogenesis",54,54,54,612,"1","0.10893"
"26","GO:0001558","regulation of cell growth",28,28,28,789,"1","0.24273"
"27","GO:0001568","blood vessel development",70,70,70,532,"1","0.07039"
"28","GO:0001649","osteoblast differentiation",14,14,14,1146,"1","0.60171"
"29","GO:0001654","eye development",21,21,21,1443,"1","0.95252"
"30","GO:0001655","urogenital system development",30,30,30,1372,"1","0.87870"
