"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",40,40,40,265,"1","0.0250"
"2","GO:0000075","cell cycle checkpoint",10,10,10,847,"1","0.9731"
"3","GO:0000122","negative regulation of transcription by ...",25,25,25,609,"1","0.3724"
"4","GO:0000165","MAPK cascade",37,37,37,92,"1","0.0020"
"5","GO:0000226","microtubule cytoskeleton organization",16,16,16,817,"1","0.8209"
"6","GO:0000278","mitotic cell cycle",23,23,23,622,"1","0.4009"
"7","GO:0000902","cell morphogenesis",43,43,43,780,"1","0.7114"
"8","GO:0000904","cell morphogenesis involved in different...",30,30,30,779,"1","0.7099"
"9","GO:0001501","skeletal system development",16,16,16,832,"1","0.9058"
"10","GO:0001503","ossification",21,21,21,381,"1","0.0778"
"11","GO:0001525","angiogenesis",27,27,27,448,"1","0.1357"
"12","GO:0001558","regulation of cell growth",15,15,15,621,"1","0.4008"
"13","GO:0001568","blood vessel development",38,38,38,391,"1","0.0828"
"14","GO:0001649","osteoblast differentiation",11,11,11,736,"1","0.6116"
"15","GO:0001659","temperature homeostasis",10,10,10,466,"1","0.1518"
"16","GO:0001666","response to hypoxia",15,15,15,682,"1","0.5079"
"17","GO:0001667","ameboidal-type cell migration",16,16,16,664,"1","0.4621"
"18","GO:0001701","in utero embryonic development",10,10,10,697,"1","0.5234"
"19","GO:0001775","cell activation",65,65,65,3,"1","5.9e-06"
"20","GO:0001816","cytokine production",37,37,37,181,"1","0.0099"
"21","GO:0001817","regulation of cytokine production",34,34,34,150,"1","0.0063"
"22","GO:0001818","negative regulation of cytokine producti...",10,10,10,219,"1","0.0155"
"23","GO:0001819","positive regulation of cytokine producti...",27,27,27,207,"1","0.0133"
"24","GO:0001890","placenta development",10,10,10,650,"1","0.4417"
"25","GO:0001932","regulation of protein phosphorylation",61,61,61,132,"1","0.0043"
"26","GO:0001933","negative regulation of protein phosphory...",15,15,15,568,"1","0.2913"
"27","GO:0001934","positive regulation of protein phosphory...",45,45,45,102,"1","0.0025"
"28","GO:0001944","vasculature development",39,39,39,342,"1","0.0562"
"29","GO:0002009","morphogenesis of an epithelium",11,11,11,698,"1","0.5239"
"30","GO:0002237","response to molecule of bacterial origin",22,22,22,10,"1","1.9e-05"
