"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",66,66,66,950,"1","0.956"
"2","GO:0000082","G1/S transition of mitotic cell cycle",11,11,11,1160,"1","1.000"
"3","GO:0000122","negative regulation of transcription by ...",36,36,36,909,"1","0.938"
"4","GO:0000165","MAPK cascade",54,54,54,1112,"1","0.997"
"5","GO:0000187","activation of MAPK activity",17,17,17,1004,"1","0.975"
"6","GO:0000226","microtubule cytoskeleton organization",17,17,17,174,"1","0.286"
"7","GO:0000278","mitotic cell cycle",30,30,30,595,"1","0.708"
"8","GO:0000375","RNA splicing, via transesterification re...",10,10,10,18,"1","0.026"
"9","GO:0000377","RNA splicing, via transesterification re...",10,10,10,19,"1","0.026"
"10","GO:0000398","mRNA splicing, via spliceosome",10,10,10,20,"1","0.026"
"11","GO:0000902","cell morphogenesis",66,66,66,745,"1","0.825"
"12","GO:0000904","cell morphogenesis involved in different...",50,50,50,607,"1","0.718"
"13","GO:0001501","skeletal system development",31,31,31,276,"1","0.408"
"14","GO:0001503","ossification",21,21,21,318,"1","0.466"
"15","GO:0001505","regulation of neurotransmitter levels",17,17,17,648,"1","0.750"
"16","GO:0001508","action potential",16,16,16,393,"1","0.534"
"17","GO:0001525","angiogenesis",34,34,34,1042,"1","0.987"
"18","GO:0001558","regulation of cell growth",23,23,23,994,"1","0.972"
"19","GO:0001568","blood vessel development",42,42,42,1082,"1","0.994"
"20","GO:0001654","eye development",25,25,25,100,"1","0.174"
"21","GO:0001655","urogenital system development",21,21,21,407,"1","0.548"
"22","GO:0001656","metanephros development",10,10,10,271,"1","0.405"
"23","GO:0001659","temperature homeostasis",14,14,14,347,"1","0.491"
"24","GO:0001666","response to hypoxia",19,19,19,698,"1","0.790"
"25","GO:0001667","ameboidal-type cell migration",24,24,24,126,"1","0.219"
"26","GO:0001701","in utero embryonic development",18,18,18,106,"1","0.182"
"27","GO:0001704","formation of primary germ layer",11,11,11,434,"1","0.564"
"28","GO:0001763","morphogenesis of a branching structure",12,12,12,599,"1","0.714"
"29","GO:0001764","neuron migration",15,15,15,311,"1","0.456"
"30","GO:0001775","cell activation",85,85,85,425,"1","0.556"
