"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",131,131,131,287,"1","0.03255"
"2","GO:0000041","transition metal ion transport",10,10,10,764,"1","0.19173"
"3","GO:0000070","mitotic sister chromatid segregation",14,14,14,15,"1","6.2e-08"
"4","GO:0000075","cell cycle checkpoint",18,18,18,69,"1","0.00017"
"5","GO:0000077","DNA damage checkpoint",10,10,10,175,"1","0.01114"
"6","GO:0000079","regulation of cyclin-dependent protein s...",12,12,12,96,"1","0.00127"
"7","GO:0000082","G1/S transition of mitotic cell cycle",27,27,27,203,"1","0.01505"
"8","GO:0000086","G2/M transition of mitotic cell cycle",16,16,16,47,"1","3.8e-05"
"9","GO:0000122","negative regulation of transcription by ...",79,79,79,1279,"1","0.47144"
"10","GO:0000165","MAPK cascade",124,124,124,618,"1","0.13684"
"11","GO:0000187","activation of MAPK activity",26,26,26,1525,"1","0.61482"
"12","GO:0000209","protein polyubiquitination",14,14,14,164,"1","0.00918"
"13","GO:0000226","microtubule cytoskeleton organization",38,38,38,59,"1","6.9e-05"
"14","GO:0000278","mitotic cell cycle",77,77,77,34,"1","5.3e-06"
"15","GO:0000280","nuclear division",33,33,33,10,"1","9.1e-09"
"16","GO:0000302","response to reactive oxygen species",32,32,32,1835,"1","0.84500"
"17","GO:0000819","sister chromatid segregation",16,16,16,8,"1","5.6e-09"
"18","GO:0000902","cell morphogenesis",108,108,108,1478,"1","0.59049"
"19","GO:0000904","cell morphogenesis involved in different...",83,83,83,1330,"1","0.50090"
"20","GO:0000910","cytokinesis",12,12,12,63,"1","0.00012"
"21","GO:0001101","response to acid chemical",14,14,14,1825,"1","0.83608"
"22","GO:0001501","skeletal system development",58,58,58,902,"1","0.25847"
"23","GO:0001503","ossification",54,54,54,1584,"1","0.65266"
"24","GO:0001505","regulation of neurotransmitter levels",21,21,21,1076,"1","0.35164"
"25","GO:0001508","action potential",14,14,14,910,"1","0.26404"
"26","GO:0001523","retinoid metabolic process",17,17,17,1212,"1","0.43122"
"27","GO:0001525","angiogenesis",74,74,74,1964,"1","0.95634"
"28","GO:0001558","regulation of cell growth",39,39,39,1578,"1","0.64982"
"29","GO:0001568","blood vessel development",98,98,98,1893,"1","0.89370"
"30","GO:0001570","vasculogenesis",11,11,11,1962,"1","0.95150"
