"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0006596","polyamine biosynthetic process",13,1,0,4684,"0.0030","0.0189"
"2","GO:0006595","polyamine metabolic process",16,1,0,4503,"0.0037","0.0141"
"3","GO:0042402","cellular biogenic amine catabolic proces...",21,1,0,3903,"0.0049","0.0049"
"4","GO:0009310","amine catabolic process",22,1,0,3776,"0.0051","0.0037"
"5","GO:0042401","cellular biogenic amine biosynthetic pro...",22,1,0,4636,"0.0051","0.0176"
"6","GO:0009309","amine biosynthetic process",23,1,0,4331,"0.0054","0.0104"
"7","GO:0046697","decidualization",24,1,0,4922,"0.0056","0.0298"
"8","GO:0001893","maternal placenta development",35,1,0,3283,"0.0082","0.0011"
"9","GO:0006576","cellular biogenic amine metabolic proces...",56,1,0,3575,"0.0130","0.0024"
"10","GO:0060135","maternal process involved in female preg...",62,1,0,2053,"0.0144","7.0e-06"
"11","GO:0046579","positive regulation of Ras protein signa...",69,1,0,1246,"0.0160","1.2e-09"
"12","GO:0051057","positive regulation of small GTPase medi...",76,1,0,1119,"0.0176","7.5e-11"
"13","GO:0014068","positive regulation of phosphatidylinosi...",86,1,0.01,1540,"0.0199","5.9e-08"
"14","GO:0072359","circulatory system development",1027,2,0.06,236,"0.0223","< 1e-30"
"15","GO:0014066","regulation of phosphatidylinositol 3-kin...",120,1,0.01,1349,"0.0277","5.6e-09"
"16","GO:0044106","cellular amine metabolic process",125,1,0.01,2025,"0.0289","5.6e-06"
"17","GO:0009308","amine metabolic process",134,1,0.01,2138,"0.0309","1.1e-05"
"18","GO:0014065","phosphatidylinositol 3-kinase signaling",146,1,0.01,1296,"0.0336","2.7e-09"
"19","GO:0001890","placenta development",150,1,0.01,1300,"0.0345","3.0e-09"
"20","GO:0048015","phosphatidylinositol-mediated signaling",181,1,0.01,930,"0.0416","5.2e-13"
"21","GO:0048017","inositol lipid-mediated signaling",185,1,0.01,908,"0.0425","2.1e-13"
"22","GO:0007565","female pregnancy",186,1,0.01,1341,"0.0427","5.0e-09"
"23","GO:0046578","regulation of Ras protein signal transdu...",188,1,0.01,708,"0.0431","2.0e-17"
"24","GO:0044706","multi-multicellular organism process",214,1,0.01,1338,"0.0490","4.9e-09"
"25","GO:0051056","regulation of small GTPase mediated sign...",311,1,0.02,453,"0.0705","2.9e-27"
"26","GO:0007265","Ras protein signal transduction",330,1,0.02,529,"0.0746","2.9e-23"
"27","GO:0048608","reproductive structure development",421,1,0.02,483,"0.0943","8.5e-26"
"28","GO:0061458","reproductive system development",425,1,0.02,481,"0.0952","7.6e-26"
"29","GO:0001525","angiogenesis",483,1,0.03,449,"0.1075","2.2e-27"
"30","GO:0007264","small GTPase mediated signal transductio...",486,1,0.03,353,"0.1082","< 1e-30"
