"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",115,115,115,1786,"1","0.8152"
"2","GO:0000041","transition metal ion transport",13,13,13,569,"1","0.1071"
"3","GO:0000070","mitotic sister chromatid segregation",12,12,12,1073,"1","0.3206"
"4","GO:0000075","cell cycle checkpoint",26,26,26,646,"1","0.1310"
"5","GO:0000077","DNA damage checkpoint",20,20,20,919,"1","0.2479"
"6","GO:0000079","regulation of cyclin-dependent protein s...",10,10,10,1095,"1","0.3289"
"7","GO:0000082","G1/S transition of mitotic cell cycle",31,31,31,1395,"1","0.5121"
"8","GO:0000086","G2/M transition of mitotic cell cycle",27,27,27,677,"1","0.1508"
"9","GO:0000122","negative regulation of transcription by ...",92,92,92,1915,"1","0.9072"
"10","GO:0000165","MAPK cascade",127,127,127,1945,"1","0.9310"
"11","GO:0000187","activation of MAPK activity",22,22,22,1180,"1","0.3749"
"12","GO:0000209","protein polyubiquitination",48,48,48,450,"1","0.0663"
"13","GO:0000226","microtubule cytoskeleton organization",45,45,45,1327,"1","0.4751"
"14","GO:0000271","polysaccharide biosynthetic process",11,11,11,1612,"1","0.6868"
"15","GO:0000278","mitotic cell cycle",113,113,113,271,"1","0.0241"
"16","GO:0000280","nuclear division",30,30,30,883,"1","0.2348"
"17","GO:0000281","mitotic cytokinesis",11,11,11,132,"1","0.0051"
"18","GO:0000288","nuclear-transcribed mRNA catabolic proce...",11,11,11,1254,"1","0.4222"
"19","GO:0000302","response to reactive oxygen species",33,33,33,1631,"1","0.6962"
"20","GO:0000375","RNA splicing, via transesterification re...",32,32,32,219,"1","0.0138"
"21","GO:0000377","RNA splicing, via transesterification re...",32,32,32,220,"1","0.0138"
"22","GO:0000398","mRNA splicing, via spliceosome",32,32,32,221,"1","0.0138"
"23","GO:0000723","telomere maintenance",16,16,16,512,"1","0.0828"
"24","GO:0000768","syncytium formation by plasma membrane f...",10,10,10,1418,"1","0.5381"
"25","GO:0000819","sister chromatid segregation",12,12,12,1074,"1","0.3206"
"26","GO:0000902","cell morphogenesis",107,107,107,416,"1","0.0568"
"27","GO:0000904","cell morphogenesis involved in different...",77,77,77,984,"1","0.2756"
"28","GO:0000910","cytokinesis",16,16,16,234,"1","0.0160"
"29","GO:0000956","nuclear-transcribed mRNA catabolic proce...",19,19,19,859,"1","0.2238"
"30","GO:0001101","response to acid chemical",16,16,16,1677,"1","0.7403"
