"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",350,350,350,2681,"1","0.705"
"2","GO:0000018","regulation of DNA recombination",18,18,18,3157,"1","0.965"
"3","GO:0000041","transition metal ion transport",26,26,26,1163,"1","0.074"
"4","GO:0000070","mitotic sister chromatid segregation",66,66,66,3405,"1","0.999"
"5","GO:0000075","cell cycle checkpoint",74,74,74,3398,"1","0.998"
"6","GO:0000077","DNA damage checkpoint",42,42,42,3158,"1","0.965"
"7","GO:0000079","regulation of cyclin-dependent protein s...",38,38,38,3330,"1","0.994"
"8","GO:0000082","G1/S transition of mitotic cell cycle",85,85,85,3034,"1","0.914"
"9","GO:0000083","regulation of transcription involved in ...",19,19,19,3247,"1","0.981"
"10","GO:0000086","G2/M transition of mitotic cell cycle",65,65,65,3294,"1","0.989"
"11","GO:0000122","negative regulation of transcription by ...",190,190,190,3242,"1","0.980"
"12","GO:0000132","establishment of mitotic spindle orienta...",10,10,10,3006,"1","0.902"
"13","GO:0000165","MAPK cascade",233,233,233,110,"1","1.3e-05"
"14","GO:0000187","activation of MAPK activity",44,44,44,1009,"1","0.048"
"15","GO:0000209","protein polyubiquitination",32,32,32,3312,"1","0.992"
"16","GO:0000226","microtubule cytoskeleton organization",136,136,136,3390,"1","0.998"
"17","GO:0000245","spliceosomal complex assembly",13,13,13,2831,"1","0.800"
"18","GO:0000271","polysaccharide biosynthetic process",20,20,20,1306,"1","0.111"
"19","GO:0000278","mitotic cell cycle",294,294,294,3238,"1","0.980"
"20","GO:0000280","nuclear division",140,140,140,3366,"1","0.996"
"21","GO:0000281","mitotic cytokinesis",20,20,20,3377,"1","0.997"
"22","GO:0000302","response to reactive oxygen species",70,70,70,1147,"1","0.071"
"23","GO:0000303","response to superoxide",10,10,10,2508,"1","0.612"
"24","GO:0000305","response to oxygen radical",10,10,10,2509,"1","0.612"
"25","GO:0000375","RNA splicing, via transesterification re...",57,57,57,1802,"1","0.273"
"26","GO:0000377","RNA splicing, via transesterification re...",57,57,57,1803,"1","0.273"
"27","GO:0000380","alternative mRNA splicing, via spliceoso...",20,20,20,2761,"1","0.756"
"28","GO:0000381","regulation of alternative mRNA splicing,...",16,16,16,2985,"1","0.896"
"29","GO:0000398","mRNA splicing, via spliceosome",57,57,57,1804,"1","0.273"
"30","GO:0000422","autophagy of mitochondrion",12,12,12,1038,"1","0.052"
