"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",175,175,175,2317,"1","0.9867"
"2","GO:0000018","regulation of DNA recombination",14,14,14,1756,"1","0.7158"
"3","GO:0000027","ribosomal large subunit assembly",12,12,12,1971,"1","0.8542"
"4","GO:0000041","transition metal ion transport",14,14,14,1686,"1","0.6850"
"5","GO:0000054","ribosomal subunit export from nucleus",10,10,10,1573,"1","0.6172"
"6","GO:0000070","mitotic sister chromatid segregation",52,52,52,2355,"1","0.9934"
"7","GO:0000075","cell cycle checkpoint",44,44,44,2280,"1","0.9785"
"8","GO:0000077","DNA damage checkpoint",21,21,21,2199,"1","0.9585"
"9","GO:0000079","regulation of cyclin-dependent protein s...",22,22,22,2213,"1","0.9605"
"10","GO:0000082","G1/S transition of mitotic cell cycle",58,58,58,2026,"1","0.8875"
"11","GO:0000083","regulation of transcription involved in ...",10,10,10,1968,"1","0.8534"
"12","GO:0000086","G2/M transition of mitotic cell cycle",62,62,62,1518,"1","0.5805"
"13","GO:0000122","negative regulation of transcription by ...",101,101,101,2408,"1","0.9998"
"14","GO:0000154","rRNA modification",13,13,13,1914,"1","0.8141"
"15","GO:0000165","MAPK cascade",109,109,109,74,"1","0.0032"
"16","GO:0000184","nuclear-transcribed mRNA catabolic proce...",34,34,34,1305,"1","0.4526"
"17","GO:0000187","activation of MAPK activity",15,15,15,1691,"1","0.6859"
"18","GO:0000209","protein polyubiquitination",41,41,41,310,"1","0.0466"
"19","GO:0000226","microtubule cytoskeleton organization",86,86,86,1979,"1","0.8579"
"20","GO:0000245","spliceosomal complex assembly",11,11,11,1245,"1","0.4234"
"21","GO:0000278","mitotic cell cycle",215,215,215,2166,"1","0.9492"
"22","GO:0000280","nuclear division",93,93,93,2356,"1","0.9939"
"23","GO:0000281","mitotic cytokinesis",16,16,16,2305,"1","0.9844"
"24","GO:0000288","nuclear-transcribed mRNA catabolic proce...",19,19,19,902,"1","0.2344"
"25","GO:0000291","nuclear-transcribed mRNA catabolic proce...",14,14,14,1261,"1","0.4338"
"26","GO:0000302","response to reactive oxygen species",45,45,45,1266,"1","0.4372"
"27","GO:0000375","RNA splicing, via transesterification re...",75,75,75,384,"1","0.0638"
"28","GO:0000377","RNA splicing, via transesterification re...",73,73,73,428,"1","0.0742"
"29","GO:0000380","alternative mRNA splicing, via spliceoso...",10,10,10,419,"1","0.0715"
"30","GO:0000387","spliceosomal snRNP assembly",15,15,15,1699,"1","0.6896"
