"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0001775","cell activation",29,29,29,29,"1","0.194"
"2","GO:0001816","cytokine production",11,11,11,31,"1","0.229"
"3","GO:0001817","regulation of cytokine production",11,11,11,32,"1","0.229"
"4","GO:0002252","immune effector process",25,25,25,20,"1","0.128"
"5","GO:0002263","cell activation involved in immune respo...",16,16,16,7,"1","0.069"
"6","GO:0002274","myeloid leukocyte activation",18,18,18,19,"1","0.098"
"7","GO:0002275","myeloid cell activation involved in immu...",16,16,16,8,"1","0.069"
"8","GO:0002283","neutrophil activation involved in immune...",16,16,16,9,"1","0.069"
"9","GO:0002366","leukocyte activation involved in immune ...",16,16,16,10,"1","0.069"
"10","GO:0002376","immune system process",51,51,51,17,"1","0.092"
"11","GO:0002443","leukocyte mediated immunity",19,19,19,21,"1","0.138"
"12","GO:0002444","myeloid leukocyte mediated immunity",16,16,16,11,"1","0.069"
"13","GO:0002446","neutrophil mediated immunity",16,16,16,12,"1","0.069"
"14","GO:0002520","immune system development",22,22,22,149,"1","0.800"
"15","GO:0002682","regulation of immune system process",23,23,23,210,"1","0.892"
"16","GO:0002684","positive regulation of immune system pro...",15,15,15,48,"1","0.329"
"17","GO:0002694","regulation of leukocyte activation",10,10,10,151,"1","0.803"
"18","GO:0002697","regulation of immune effector process",10,10,10,38,"1","0.266"
"19","GO:0006139","nucleobase-containing compound metabolic...",38,38,38,261,"1","0.966"
"20","GO:0006351","transcription, DNA-templated",25,25,25,196,"1","0.884"
"21","GO:0006355","regulation of transcription, DNA-templat...",23,23,23,173,"1","0.862"
"22","GO:0006357","regulation of transcription by RNA polym...",15,15,15,126,"1","0.721"
"23","GO:0006366","transcription by RNA polymerase II",16,16,16,130,"1","0.745"
"24","GO:0006464","cellular protein modification process",26,26,26,212,"1","0.894"
"25","GO:0006468","protein phosphorylation",11,11,11,169,"1","0.849"
"26","GO:0006508","proteolysis",14,14,14,46,"1","0.306"
"27","GO:0006725","cellular aromatic compound metabolic pro...",40,40,40,265,"1","0.969"
"28","GO:0006793","phosphorus metabolic process",17,17,17,185,"1","0.872"
"29","GO:0006796","phosphate-containing compound metabolic ...",17,17,17,186,"1","0.872"
"30","GO:0006807","nitrogen compound metabolic process",58,58,58,279,"1","0.984"
