"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",12,12,12,108,"1","0.14926"
"2","GO:0000122","negative regulation of transcription by ...",11,11,11,322,"1","0.87204"
"3","GO:0000165","MAPK cascade",15,15,15,323,"1","0.87331"
"4","GO:0000902","cell morphogenesis",13,13,13,181,"1","0.39522"
"5","GO:0000904","cell morphogenesis involved in different...",10,10,10,205,"1","0.49483"
"6","GO:0001503","ossification",11,11,11,374,"1","0.94001"
"7","GO:0001775","cell activation",58,58,58,60,"1","0.03097"
"8","GO:0001816","cytokine production",26,26,26,78,"1","0.07538"
"9","GO:0001817","regulation of cytokine production",22,22,22,150,"1","0.26951"
"10","GO:0001818","negative regulation of cytokine producti...",13,13,13,124,"1","0.18368"
"11","GO:0001819","positive regulation of cytokine producti...",11,11,11,191,"1","0.44785"
"12","GO:0001906","cell killing",12,12,12,30,"1","0.00848"
"13","GO:0001932","regulation of protein phosphorylation",25,25,25,298,"1","0.78837"
"14","GO:0001934","positive regulation of protein phosphory...",18,18,18,264,"1","0.67404"
"15","GO:0002237","response to molecule of bacterial origin",11,11,11,42,"1","0.01603"
"16","GO:0002250","adaptive immune response",33,33,33,381,"1","0.95007"
"17","GO:0002252","immune effector process",47,47,47,22,"1","0.00012"
"18","GO:0002253","activation of immune response",20,20,20,406,"1","0.99631"
"19","GO:0002263","cell activation involved in immune respo...",32,32,32,18,"1","1.3e-05"
"20","GO:0002274","myeloid leukocyte activation",27,27,27,12,"1","6.8e-09"
"21","GO:0002275","myeloid cell activation involved in immu...",25,25,25,11,"1","5.5e-09"
"22","GO:0002283","neutrophil activation involved in immune...",22,22,22,3,"1","7.6e-10"
"23","GO:0002366","leukocyte activation involved in immune ...",32,32,32,19,"1","1.3e-05"
"24","GO:0002376","immune system process",88,88,88,52,"1","0.02719"
"25","GO:0002429","immune response-activating cell surface ...",20,20,20,407,"1","0.99631"
"26","GO:0002440","production of molecular mediator of immu...",12,12,12,273,"1","0.70443"
"27","GO:0002443","leukocyte mediated immunity",36,36,36,23,"1","0.00022"
"28","GO:0002444","myeloid leukocyte mediated immunity",23,23,23,9,"1","3.9e-09"
"29","GO:0002446","neutrophil mediated immunity",22,22,22,4,"1","7.6e-10"
"30","GO:0002449","lymphocyte mediated immunity",15,15,15,337,"1","0.88343"
