"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",19,19,19,247,"1","0.190"
"2","GO:0000070","mitotic sister chromatid segregation",13,13,13,228,"1","0.160"
"3","GO:0000122","negative regulation of transcription by ...",11,11,11,283,"1","0.251"
"4","GO:0000165","MAPK cascade",17,17,17,75,"1","0.020"
"5","GO:0000226","microtubule cytoskeleton organization",13,13,13,344,"1","0.472"
"6","GO:0000278","mitotic cell cycle",33,33,33,174,"1","0.093"
"7","GO:0000280","nuclear division",22,22,22,175,"1","0.098"
"8","GO:0000819","sister chromatid segregation",14,14,14,314,"1","0.334"
"9","GO:0000902","cell morphogenesis",19,19,19,372,"1","0.682"
"10","GO:0000904","cell morphogenesis involved in different...",12,12,12,368,"1","0.639"
"11","GO:0001525","angiogenesis",11,11,11,225,"1","0.154"
"12","GO:0001568","blood vessel development",13,13,13,336,"1","0.442"
"13","GO:0001667","ameboidal-type cell migration",10,10,10,140,"1","0.069"
"14","GO:0001775","cell activation",18,18,18,51,"1","0.012"
"15","GO:0001932","regulation of protein phosphorylation",31,31,31,64,"1","0.016"
"16","GO:0001934","positive regulation of protein phosphory...",23,23,23,182,"1","0.103"
"17","GO:0001944","vasculature development",14,14,14,334,"1","0.432"
"18","GO:0002252","immune effector process",11,11,11,107,"1","0.035"
"19","GO:0002274","myeloid leukocyte activation",11,11,11,80,"1","0.022"
"20","GO:0002376","immune system process",23,23,23,343,"1","0.463"
"21","GO:0002443","leukocyte mediated immunity",10,10,10,57,"1","0.014"
"22","GO:0002682","regulation of immune system process",13,13,13,111,"1","0.037"
"23","GO:0002684","positive regulation of immune system pro...",10,10,10,149,"1","0.074"
"24","GO:0003006","developmental process involved in reprod...",11,11,11,168,"1","0.090"
"25","GO:0003008","system process",28,28,28,218,"1","0.139"
"26","GO:0003013","circulatory system process",14,14,14,307,"1","0.314"
"27","GO:0006139","nucleobase-containing compound metabolic...",40,40,40,333,"1","0.424"
"28","GO:0006351","transcription, DNA-templated",34,34,34,277,"1","0.242"
"29","GO:0006355","regulation of transcription, DNA-templat...",33,33,33,293,"1","0.281"
"30","GO:0006357","regulation of transcription by RNA polym...",19,19,19,331,"1","0.412"
